,count
Young M.A,13994
Joe Nichols,13993
Godsmack,13991
Tritonal,13978
Bobby Shmurda,13963
Kane Brown,13961
Kristen Bell,13863
Travis Porter,13820
Keri Hilson,13817
Axwell /\ Ingrosso,13812
Falling In Reverse,13777
Ricky Martin,13770
Duran Duran,13768
Taking Back Sunday,13745
Grimes,13654
Tegan and Sara,13644
Leona Lewis,13614
Andy Mineo,13610
Duke Dumont,13586
Hermitude,13568
Hilary Duff,13564
EXO,13523
Blue Öyster Cult,13449
Aer,13439
Erykah Badu,13361
Chicago,13303
Stephen Schwartz,13286
"Hank Williams, Jr.",13210
Starley,13154
The Band Perry,13121
Dire Straits,13115
Kirk Franklin,13098
Smokepurpp,13074
LCD Soundsystem,13060
The Postal Service,13029
Steely Dan,12977
Kent Jones,12964
Barenaked Ladies,12948
Depeche Mode,12944
Kungs,12867
Mr. Probz,12864
STRFKR,12825
The Wombats,12782
Alanis Morissette,12754
Vic Mensa,12754
Smallpools,12729
Tracy Chapman,12721
James Brown,12695
Rush,12678
Carlos Vives,12669
Don McLean,12666
Bonobo,12636
Niykee Heaton,12591
Salt-N-Pepa,12542
The Band,12528
The Animals,12526
Juanes,12494
Kool & The Gang,12492
Elle King,12488
Gerardo Ortiz,12463
Lindsey Stirling,12430
Gryffin,12413
David Nail,12388
Wolfgang Amadeus Mozart,12350
DJ Mustard,12230
Will Smith,12219
Noah Cyrus,12211
Wet,12181
Flight Facilities,12147
David Crowder Band,12123
Straight No Chaser,12093
Matisyahu,12068
Brothers Osborne,12018
Sammy Adams,12000
Pixies,11981
Judah & the Lion,11929
Afroman,11910
Speaker Knockerz,11892
She & Him,11850
San Holo,11849
Nina Simone,11824
George Michael,11774
The Cars,11755
What So Not,11745
Kacey Musgraves,11708
Tenth Avenue North,11660
Tycho,11620
Maren Morris,11579
Ace Hood,11556
The Front Bottoms,11522
JoJo,11513
Pat Benatar,11475
Cascada,11461
Gregory Alan Isakov,11448
Francesca Battistelli,11448
Idina Menzel,11422
Father John Misty,11377
Santigold,11347
Moon Taxi,11313
Nine Inch Nails,11280
Eazy-E,11254
Creed,11235
Matt Redman,11218
Yandel,11202
The Wanted,11192
Uncle Kracker,11170
DVBBS,11145
Alexandre Desplat,11119
Petit Biscuit,11119
Ludwig van Beethoven,11090
Vanessa Carlton,11088
Skizzy Mars,11081
Calibre 50,11034
Steppenwolf,11023
Earl Sweatshirt,10966
Lionel Richie,10929
Wisin,10921
Catfish and the Bottlemen,10893
UB40,10884
Fort Minor,10883
Chuck Berry,10855
Becky G,10819
Bahamas,10797
Julión Álvarez y su Norteño Banda,10758
Gary Allan,10706
Banda El Recodo,10690
Belly,10652
$uicideBoy$,10647
Plan B,10646
Astrid S,10512
Frédéric Chopin,10504
Fountains Of Wayne,10481
Josh Abbott Band,10470
MAX,10446
Bullet For My Valentine,10433
The Roots,10423
Jasmine Thompson,10421
Aloe Blacc,10368
Run The Jewels,10367
LL Cool J,10351
Men At Work,10339
Sigala,10319
Chevelle,10309
Poison,10302
Dr. Dog,10274
Pusha T,10252
112,10192
Nebu Kiniza,10176
Atlas Genius,10169
Leslie Odom Jr.,10163
Scorpions,10157
Labrinth,10152
La Arrolladora Banda El Limón De Rene Camacho,10117
Futuristic,10099
Seven Lions,10090
Houndmouth,10085
Isaiah Rashad,10040
Scotty McCreery,10002
Matt Maher,9998
John Lennon,9967
Cream,9961
Keane,9943
Commodores,9927
Grizzly Bear,9919
NERO,9869
Blondie,9865
Alan Menken,9863
KAYTRANADA,9854
Lykke Li,9848
Trace Adkins,9805
Big & Rich,9801
Action Bronson,9770
Matt Nathanson,9763
Jeremy Camp,9757
Waylon Jennings,9746
Ron Pope,9720
Christophe Beck,9703
Randy Rogers Band,9698
Four Tops,9652
Madeon,9629
Klingande,9614
Bombay Bicycle Club,9604
Dimitri Vegas & Like Mike,9596
SOJA,9580
Kidz Bop Kids,9573
Five For Fighting,9569
Rich Gang,9522
America,9467
Jagged Edge,9457
The-Dream,9449
Andrew Lloyd Webber,9406
Kelly Rowland,9375
Trip Lee,9374
Young Dolph,9327
Foals,9316
EDEN,9305
Granger Smith,9286
Big Gigantic,9257
Faith Hill,9229
Hinder,9227
CAZZETTE,9210
Majid Jordan,9164
Zion & Lennox,9157
Ying Yang Twins,9147
Franz Ferdinand,9127
Tom Odell,9091
Jamie Foxx,9080
Twista,9062
Mike Perry,9046
Yelawolf,9042
Kings Kaleidoscope,9030
Benny Benassi,8980
Samuel E. Wright,8948
Lloyd,8944
Luther Vandross,8943
Matthew West,8926
Flosstradamus,8921
RAC,8904
Craig Morgan,8829
Jess Glynne,8829
Andy Williams,8760
Sabrina Carpenter,8757
My Morning Jacket,8757
Andrew McMahon in the Wilderness,8757
Bow Wow,8692
Victorious Cast,8685
Blue Swede,8671
Cobra Starship,8664
KB,8664
Old Crow Medicine Show,8646
Pepper,8635
Sheryl Crow,8631
Turnpike Troubadours,8617
Zeds Dead,8617
Juvenile,8615
Of Mice & Men,8614
Tyler Farr,8574
Denzel Curry,8555
Broken Bells,8545
Audien,8536
Bush,8529
Explosions In The Sky,8517
Cody Johnson,8514
Simple Minds,8490
Eurythmics,8457
Pyotr Ilyich Tchaikovsky,8440
Damien Rice,8417
Rich Chigga,8410
Chiddy Bang,8394
HONNE,8387
The Outfield,8379
Knife Party,8366
Miles Davis,8348
The Internet,8348
Electric Guest,8319
Ludovico Einaudi,8243
Lily Allen,8240
Iron Maiden,8229
Third Day,8210
The Red Jumpsuit Apparatus,8182
Zella Day,8176
Ashanti,8166
Vicente Fernández,8145
Chingy,8144
Various Artists,8140
BIGBANG,8138
Audioslave,8127
Everclear,8112
Alex & Sierra,8096
Kelis,8092
T-Wayne,8070
Aly & AJ,8069
Lea Salonga,8061
Grace,8038
Bad Company,8034
Olly Murs,8017
Randy Travis,8013
Volbeat,8007
Black Veil Brides,7908
Pia Mia,7861
The Maine,7780
The Velvet Underground,7779
The Strumbellas,7776
Corinne Bailey Rae,7759
O.A.R.,7757
J-Kwon,7741
Toro y Moi,7732
Carpenters,7706
SBTRKT,7704
Will Reagan,7693
Reik,7686
Keyshia Cole,7668
GRiZ,7665
Bishop Briggs,7657
Montgomery Gentry,7654
Common,7632
The Knocks,7615
Semisonic,7609
Montell Jordan,7594
CeeLo Green,7592
Sade,7590
Musiq Soulchild,7576
The Used,7543
Benjamin Francis Leftwich,7541
Queens of the Stone Age,7532
D'Angelo,7526
Michael Giacchino,7491
Felix Jaehn,7485
Hot Chelle Rae,7479
CNCO,7469
The Oh Hellos,7455
Johnnyswim,7453
Billy Idol,7439
dvsn,7426
Eddie Money,7417
Thousand Foot Krutch,7363
Dolly Parton,7363
Billie Holiday,7354
The Revivalists,7352
Hippo Campus,7350
Piano Tribute Players,7336
Ski Mask The Slump God,7296
Wilco,7294
Shakey Graves,7292
Never Shout Never,7272
Bethel Music,7231
New Order,7211
The Tallest Man On Earth,7185
Deftones,7173
The Mamas & The Papas,7171
"Harry Connick, Jr.",7147
Lost Frequencies,7145
Warren G,7142
Cypress Hill,7135
Aaron Watson,7119
The Lonely Island,7115
Tony Bennett,7109
Danny Elfman,7042
Hoobastank,7039
Bea Miller,7020
Jim Croce,7014
Puddle Of Mudd,6977
Eric Bellinger,6957
Halestorm,6936
Ariel Camacho y Los Plebes Del Rancho,6934
Three 6 Mafia,6932
Above & Beyond,6888
First Aid Kit,6877
Stevie Nicks,6876
Danny Brown,6872
Michael Franti & Spearhead,6852
Steffany Gretzinger,6850
The Story So Far,6847
Amy Grant,6832
Dispatch,6831
Noah And The Whale,6822
Ratatat,6801
The Growlers,6799
Peter Bjorn and John,6799
Robyn,6770
Gallant,6762
Secondhand Serenade,6756
Neck Deep,6754
Feist,6752
Jenn Johnson,6730
The Decemberists,6694
Asking Alexandria,6678
Empire Cast,6649
Keith Sweat,6636
COIN,6610
New Politics,6598
KC & The Sunshine Band,6581
Lin-Manuel Miranda,6568
Trans-Siberian Orchestra,6525
Josh Garrels,6515
Shwayze,6483
Lonestar,6479
Ramin Djawadi,6478
Brian Johnson,6466
Chromeo,6465
Chris Lane,6453
Amos Lee,6444
Trippie Redd,6420
AlunaGeorge,6416
Nashville Cast,6407
Amanda Cook,6380
Rick James,6369
New Found Glory,6369
RÜFÜS,6369
Dylan Scott,6368
J Boog,6348
Whitesnake,6338
Keys N Krates,6326
ayokay,6310
Anthem Lights,6308
DJ Drama,6287
Andrew Bird,6277
Sheppard,6240
Randy Newman,6237
Travis Tritt,6232
Burl Ives,6196
Dawin,6196
Jai Wolf,6192
Dropkick Murphys,6181
Moby,6175
Reba McEntire,6173
The Glitch Mob,6142
Anna Kendrick,6099
Starship,6094
Plies,6049
Alexis y Fido,6026
Ramones,6023
Lenny Kravitz,6020
Solange,6017
John Travolta,6017
Vybz Kartel,6003
Sugarland,6001
Mos Def,5986
London Philharmonic Orchestra,5966
Maxwell,5963
LOCASH,5955
Pantera,5950
Elliott Smith,5941
Thomas Newman,5938
Cam’ron,5916
Bad Meets Evil,5911
Nicholas Hooper,5900
Citizen Cope,5891
Future Islands,5887
Trampled By Turtles,5875
Rainbow Kitten Surprise,5872
Jack Garratt,5864
James Newton Howard,5858
Jack & Jack,5840
Sarah McLachlan,5813
Borgore,5789
Little Dragon,5774
Pretty Ricky,5774
Adventure Club,5760
Banda Los Recoditos,5757
The Cab,5735
Dario Marianelli,5711
Gramatik,5705
Casey Donahew,5702
New Edition,5701
Russell Dickerson,5690
Rob Zombie,5689
Julie Andrews,5673
Collective Soul,5650
Jill Scott,5645
Escape the Fate,5639
Real Estate,5621
Stromae,5605
Unknown Mortal Orchestra,5602
Silentó,5588
Supertramp,5587
Huey Lewis & The News,5586
The Drifters,5574
R. City,5551
Jet,5524
Stevie Ray Vaughan,5509
Dashboard Confessional,5457
H.E.R.,5444
Excision,5422
Haley Reinhart,5416
Yuna,5404
Jerrod Niemann,5404
Big Time Rush,5401
Wyclef Jean,5393
Ella Eyre,5393
Enya,5393
Yiruma,5368
Mannheim Steamroller,5356
Joe,5335
Beirut,5329
Trapt,5321
mansionz,5321
Judy Kuhn,5303
Martina McBride,5298
Blues Traveler,5281
Nathaniel Rateliff & The Night Sweats,5250
I Prevail,5245
A.R. Rahman,5239
Arcangel,5221
Brandy,5198
John Michael Montgomery,5189
El Komander,5168
Michael Silverman,5159
Tomppabeats,5156
D12,5141
William Singe,5125
Jackson Browne,5120
Thomas Bergersen,5108
Brian McKnight,5091
Patrick Doyle,5082
Gnarls Barkley,5068
Intocable,5050
Norman Greenbaum,5044
George Jones,5028
Modern Baseball,5016
Cheap Trick,5015
Mobb Deep,5012
Michael W. Smith,5007
Bryce Vine,4944
Jodeci,4939
Gungor,4937
Jack White,4927
Canaan Smith,4892
22 Savage,4859
Brenda Lee,4851
Crowder,4842
Smokey Robinson & The Miracles,4829
Calum Scott,4825
Montana of 300,4824
The Proclaimers,4815
The Lacs,4782
Jessie Ware,4782
The Cheetah Girls,4760
Boosie Badazz,4753
Tribal Seeds,4748
Kenny G,4748
Cher Lloyd,4746
Ben E. King,4746
Phish,4744
Metric,4729
J Alvarez,4725
Blackmill,4724
Asher Roth,4702
South Park Mexican,4701
Parmalee,4695
Gente De Zona,4693
Camila,4662
TV On The Radio,4659
In This Moment,4653
Trevor Hall,4649
Watsky,4648
Naughty Boy,4632
Big Wild,4616
New Boyz,4599
Toni Braxton,4574
Coolio,4571
Too $hort,4568
Phora,4567
Eric Paslay,4558
Lit,4557
Jamie xx,4553
Møme,4551
38 Special,4535
Gang Starr,4529
Colt Ford,4512
Crystal Castles,4509
The Cinematic Orchestra,4504
Stone Sour,4501
Lil Durk,4480
Redbone,4468
Ricardo Arjona,4467
Sigur Rós,4464
Chris Janson,4449
Radical Face,4438
Sir Mix-A-Lot,4429
Gary Clark Jr.,4375
